EntityName;DataYear;Index;Value
Bulgaria;2018;Fixed broadband 5GB;1,62
Bulgaria;2018;Mobile broadband data only 1.5 GB;0,90
Bulgaria;2018;Mobile Cellular Low Usage;1,88
Bulgaria;2018;Mobile Data and Voice Low Usage;1,96
Bulgaria;2018;Mobile Data and Voice High Usage;3,19
Bulgaria;2019;Fixed broadband 5GB;1,62
Bulgaria;2019;Mobile broadband data only 1.5 GB;0,90
Bulgaria;2019;Mobile Cellular Low Usage;2,04
Bulgaria;2019;Mobile Data and Voice Low Usage;1,96
Bulgaria;2019;Mobile Data and Voice High Usage;2,65
Bulgaria;2020;Fixed broadband 5GB;1,73
Bulgaria;2020;Mobile broadband data only 1.5 GB;1,23
Bulgaria;2020;Mobile Cellular Low Usage;1,65
Bulgaria;2020;Mobile Data and Voice Low Usage;1,67
Bulgaria;2020;Mobile Data and Voice High Usage;2,19
Bulgaria;2018;Fixed broadband 5GB;26,38
Bulgaria;2018;Mobile broadband data only 1.5 GB;14,64
Bulgaria;2018;Mobile Cellular Low Usage;30,64
Bulgaria;2018;Mobile Data and Voice Low Usage;31,95
Bulgaria;2018;Mobile Data and Voice High Usage;52,08
Bulgaria;2019;Fixed broadband 5GB;26,38
Bulgaria;2019;Mobile broadband data only 1.5 GB;14,64
Bulgaria;2019;Mobile Cellular Low Usage;33,30
Bulgaria;2019;Mobile Data and Voice Low Usage;31,95
Bulgaria;2019;Mobile Data and Voice High Usage;43,13
Bulgaria;2020;Fixed broadband 5GB;31,60
Bulgaria;2020;Mobile broadband data only 1.5 GB;22,56
Bulgaria;2020;Mobile Cellular Low Usage;30,26
Bulgaria;2020;Mobile Data and Voice Low Usage;30,52
Bulgaria;2020;Mobile Data and Voice High Usage;40,06
Bulgaria;2018;Fixed broadband 5GB;11,95
Bulgaria;2018;Mobile broadband data only 1.5 GB;6,63
Bulgaria;2018;Mobile Cellular Low Usage;13,87
Bulgaria;2018;Mobile Data and Voice Low Usage;14,47
Bulgaria;2018;Mobile Data and Voice High Usage;23,58
Bulgaria;2019;Fixed broadband 5GB;11,95
Bulgaria;2019;Mobile broadband data only 1.5 GB;6,63
Bulgaria;2019;Mobile Cellular Low Usage;15,08
Bulgaria;2019;Mobile Data and Voice Low Usage;14,47
Bulgaria;2019;Mobile Data and Voice High Usage;19,53
Bulgaria;2020;Fixed broadband 5GB;13,80
Bulgaria;2020;Mobile broadband data only 1.5 GB;9,85
Bulgaria;2020;Mobile Cellular Low Usage;13,21
Bulgaria;2020;Mobile Data and Voice Low Usage;13,33
Bulgaria;2020;Mobile Data and Voice High Usage;17,49
Croatia;2018;Fixed broadband 5GB;2,15
Croatia;2018;Mobile broadband data only 1.5 GB;1,37
Croatia;2018;Mobile Cellular Low Usage;0,33
Croatia;2018;Mobile Data and Voice Low Usage;0,73
Croatia;2018;Mobile Data and Voice High Usage;0,75
Croatia;2019;Fixed broadband 5GB;0,67
Croatia;2019;Mobile broadband data only 1.5 GB;1,37
Croatia;2019;Mobile Cellular Low Usage;2,06
Croatia;2019;Mobile Data and Voice Low Usage;2,06
Croatia;2019;Mobile Data and Voice High Usage;2,06
Croatia;2020;Fixed broadband 5GB;0,60
Croatia;2020;Mobile broadband data only 1.5 GB;1,60
Croatia;2020;Mobile Cellular Low Usage;1,60
Croatia;2020;Mobile Data and Voice Low Usage;1,60
Croatia;2020;Mobile Data and Voice High Usage;1,60
Croatia;2018;Fixed broadband 5GB;40,06
Croatia;2018;Mobile broadband data only 1.5 GB;25,43
Croatia;2018;Mobile Cellular Low Usage;6,17
Croatia;2018;Mobile Data and Voice Low Usage;13,62
Croatia;2018;Mobile Data and Voice High Usage;13,87
Croatia;2019;Fixed broadband 5GB;12,53
Croatia;2019;Mobile broadband data only 1.5 GB;25,43
Croatia;2019;Mobile Cellular Low Usage;38,28
Croatia;2019;Mobile Data and Voice Low Usage;38,28
Croatia;2019;Mobile Data and Voice High Usage;38,28
Croatia;2020;Fixed broadband 5GB;12,68
Croatia;2020;Mobile broadband data only 1.5 GB;33,52
Croatia;2020;Mobile Cellular Low Usage;33,52
Croatia;2020;Mobile Data and Voice Low Usage;33,52
Croatia;2020;Mobile Data and Voice High Usage;33,52
Croatia;2018;Fixed broadband 5GB;24,84
Croatia;2018;Mobile broadband data only 1.5 GB;15,77
Croatia;2018;Mobile Cellular Low Usage;3,82
Croatia;2018;Mobile Data and Voice Low Usage;8,44
Croatia;2018;Mobile Data and Voice High Usage;8,60
Croatia;2019;Fixed broadband 5GB;7,77
Croatia;2019;Mobile broadband data only 1.5 GB;15,77
Croatia;2019;Mobile Cellular Low Usage;23,73
Croatia;2019;Mobile Data and Voice Low Usage;23,73
Croatia;2019;Mobile Data and Voice High Usage;23,73
Croatia;2020;Fixed broadband 5GB;7,32
Croatia;2020;Mobile broadband data only 1.5 GB;19,36
Croatia;2020;Mobile Cellular Low Usage;19,36
Croatia;2020;Mobile Data and Voice Low Usage;19,36
Croatia;2020;Mobile Data and Voice High Usage;19,36
Cyprus;2018;Fixed broadband 5GB;0,86
Cyprus;2018;Mobile broadband data only 1.5 GB;0,97
Cyprus;2018;Mobile Cellular Low Usage;0,33
Cyprus;2018;Mobile Data and Voice Low Usage;0,92
Cyprus;2018;Mobile Data and Voice High Usage;2,05
Cyprus;2019;Fixed broadband 5GB;0,86
Cyprus;2019;Mobile broadband data only 1.5 GB;0,97
Cyprus;2019;Mobile Cellular Low Usage;0,59
Cyprus;2019;Mobile Data and Voice Low Usage;0,92
Cyprus;2019;Mobile Data and Voice High Usage;1,64
Cyprus;2020;Fixed broadband 5GB;0,90
Cyprus;2020;Mobile broadband data only 1.5 GB;0,90
Cyprus;2020;Mobile Cellular Low Usage;0,55
